Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise_Description,Funding Type,Status
Emerging Technologies,R&D - Transactive Controls,Lawrence Berkeley National Laboratory,A risk-based framework for dynamic assessment and prioritization of flexible building loads,Berkeley,CA,37.871593,-122.272747,https://www.energy.gov/eere/buildings/downloads/risk-based-framework-dynamic-assessment-and-prioritization-flexible,"This project will develop an open-source decision tool for commercial building operators that dynamically ranks flexible load control options based on associated risks, benefits and operator preferences. The decision-making tool yielded by this project will facilitate broader and more effective demand-response participation in commercial buildings by removing the burden of manual flexible load prioritization from building operators while retaining their response preferences.",Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,Pacific Northwest National Laboratory,Comprehensive Pliant Permissive Priority Optimization,Richland,WA,46.285691,-119.284462,https://www.energy.gov/eere/buildings/downloads/comprehensive-pliant-permissive-priority-optimization,"This project seeks to build a dynamic, real-time adaptive building load prioritization framework from a selected set of influential parameters, including building function and characteristics, occupancy, operational constraints from users, time of day/year, weather, and equipment-specific safety standards and operational constraints. The resulting system will allow utilities to monitor the potential flexibility of building services in real time and select loads for demand response.",Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,Oak Ridge National Laboratory,Hierarchal Model-Free Transactive Control of Building Loads to Support Grid Services,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/hierarchal-model-free-transactive-control-building-loads-support-grid,"This project will develop a robust, scalable hierarchical transactional control mechanism incorporating elements of model-free control and game theory to harness buildings to provide grid services. This will enable the use of residential and small commercial buildings to offer a potentially substantial source of ancillary grid services that are currently underutilized.",Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,National Renewable Energy Laboratory,"Machine-Learning-Driven, Site-Specific Weather Inference for Building Energy Forecast",Golden,CO,39.755543,-105.2211,https://www.energy.gov/eere/buildings/downloads/machine-learning-driven-site-specific-weather-inference-building-energy,"This project aims to develop a foundational platform to provide site-specific weather forecasts by using low-cost, total-sky imagers in conjunction with readily available weather station data. It will provide generalizable guidelines on the appropriate level of site-specific weather forecasting and its impact on building energy savings improvement in different types of buildings and climates.",Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,Oak Ridge National Laboratory,Scalable Load Management using Reinforcement Learning,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/scalable-load-management-using-reinforcement-learning,"The project objective is to develop a cost-effective load management system that is easy to deploy on existing homes, can enable interoperability, and optimize the loads to meet the homeowners’ comforts and economic constraints. This project will develop and utilize a distributed agent-based reinforcement learning (RL) algorithm to understand the energy usage by building occupants and generate the optimized schedule for different loads within acceptable time-interval to satisfy the homeowner comfort constraints, minimize the energy cost, and ensure a reliable service for the grid.",Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,Pacific Northwest National Laboratory,Scaling of Building Transactive Control and Coordination to Support Grid Operations,Richland,WA,46.285691,-119.284462,https://www.energy.gov/eere/buildings/downloads/scaling-building-transactive-control-and-coordination-support-grid,"This project will develop and demonstrate an open-source, scalable, transactive control system (hardware and software) that enables both existing and new buildings to provide grid services without decreasing utility. The team will implement an automated agent-based control method for prioritizing controllable end-use loads for peak load management, dynamic load shaping and transactive control. Demonstration will be achieved by forming a multi-campus network using a layered transactive control and coordination approach that is tailored for low-cost embedded computers.",Lab Award,Active
Emerging Technologies,Technology & Systems Validation,Oak Ridge National Laboratory,Smart Neighborhoods Research and Field Verification,Berkeley,CA,37.871593,-122.272747,https://www.energy.gov/eere/buildings/downloads/smart-neighborhoods-research-and-field-verification,"The overarching research objective is to develop, demonstrate, and validate a scalable control framework to co-optimize energy cost, occupant comfort, grid reliability and resilience in next-generation neighborhoods that integrate renewable energy sources and energy storage solutions. The project outcome is open architecture-based transactive control algorithms to manage building-level and community-level energy management systems, leveraging investments from Southern Company, that will enable next-generation neighborhoods with distributed energy resources for improving grid resilience and reducing customer energy costs.",Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,Argonne National Laboratory,Spatial-Temporal Data-Driven Weather and Energy Forecasting for Improved Implementation of Advanced Building Controls,Argonne,IL,41.715444,-87.983456,https://www.energy.gov/eere/buildings/downloads/spatial-temporal-data-driven-weather-and-energy-forecasting-improved,"The aim of the proposed project is to develop new weather and energy forecasting algorithms with uncertainty by incorporating spatial-temporal data in and around the building. This project will significantly improve the implementation of advanced building controls through at least 10% performance improvement in terms of accuracy for onsite temperature and solar irradiance, peak demand, and energy usage pattern forecasting on local buildings. With these tools, grid operators will have more accurate and finer resolution information about building loads to make smarter operational decision to improve grid economics and reliability.",Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,Pacific Northwest National Laboratory,Transactive-Control-Based Connected Home Solution for Existing Residential Units and Communities,Richland,WA,46.285691,-119.284462,https://www.energy.gov/eere/buildings/downloads/transactive-control-based-connected-home-solution-existing-residential,"The proposed project aims to overcome two barriers to large-scale market adoption of flexible building load control: difficulty in integrating a new connected platform with existing home systems; and lack of quantification of benefits to home inhabitants, like improved comfort, and benefits to the local utility, like grid services, resulting from connected home solutions. The project will provide a way to validate value streams of grid-interactive, efficient homes by proving that existing homes can be cost-effectively upgraded to provide grid services in the near future.",Lab Award,Active
Emerging Technologies,R&D - Advanced Lighting,Oak Ridge National Laboratory,Pulse Strengthened and Laser Edge Sealed Vacuum Insulation Glazing,Berkeley,CA,37.871593,-122.272747,https://www.energy.gov/eere/buildings/downloads/pulse-strengthened-and-laser-edge-sealed-vacuum-insulation-glazing-0,"This project will research a scalable, low-cost processing strategy for glass strengthening and sealing to impact the thermal performance of insulating glass units. To realize a vacuum glazing technology meeting the cost, performance, reliability, and throughput demands, the project team proposes a combination of large area photonic processing, additive manufacturing, and laser encapsulation techniques.",Lab Award,Active
Residential Buildings Integration,R&D - Window & Building Envelope,Pacific Northwest National Laboratory,Validation Studies of High-R Windows,Richland,WA,46.285691,-119.284462,https://www.energy.gov/eere/buildings/downloads/validation-studies-high-r-windows,This assessment will investigate potential whole-building impacts of the latest generation of high-R windows. The project team will conduct Lab Home experiments and work with the university partners to conduct field studies with builders and installers. The Lab Home experiments will be used to assess whole-house system impacts on energy-efficiency and grid system benefits.,Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,Lawrence Livermore National Laboratory,Capacity Utilization of Building Energy (CUBE) via Multi-Scale Metric,Livermore,CA,37.681874,-121.768009,https://www.energy.gov/eere/buildings/downloads/capacity-utilization-building-energy-cube-multi-scale-metrics,"The CUBE project will develop metrics to evaluate peak shaving and shifting capacities of buildings over multiple time scales for grid services. The developed metrics will provide a consistent measure to evaluate building’s peak shaving and shifting capacities, which will help various stakeholders make decisions to leverage building energy flexibility for their financial and operational interests and needs.",Lab Award,Active
