Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise Description,Funding Type,Status
Emerging Technologies,R&D - Transactive Controls,SLAC National Accelerator Laboratory,GM0172 - VOLTTRON Message Bus Protocol Adapter,Menlo Park,CA,37.45296,-122.181725,https://energy.gov/eere/buildings/downloads/gm0172-volttron-message-bus-protocol-adapter,"SLAC National Accelerator Laboratory will develop a VOLTTRON extension that provides building level data standardization, enabling transactive services from connected equipment and buildings. SLAC will define a core VOLTTRON data model on top of the VOLTTRON Interconnect Protocol to allow for consistent, unified communication of relevant data between agents based-on their tasks to enable VOLTTRON?s functions and extend its capabilities.",Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,National Renewable Energy Laboratory,GM0172 - VOLTTRON Message Bus Protocol Adapter,Golden,CO,39.755543,-105.2211,https://energy.gov/eere/buildings/downloads/gm0172-volttron-message-bus-protocol-adapter,"SLAC National Accelerator Laboratory will develop a VOLTTRON extension that provides building level data standardization, enabling transactive services from connected equipment and buildings. SLAC will define a core VOLTTRON data model on top of the VOLTTRON Interconnect Protocol to allow for consistent, unified communication of relevant data between agents based-on their tasks to enable VOLTTRON?s functions and extend its capabilities.",Lab Award,Active
Emerging Technologies,R&D - Sensors & Controls,National Renewable Energy Laboratory,Hybrid Model-Based Algorithms for Whole-Building AFDD,Golden,CO,39.755543,-105.2211,https://energy.gov/eere/buildings/downloads/hybrid-model-based-algorithms-whole-building-afdd,"Develop cost-effective fault detection and diagnostics tools for small commercial buildings. This project will overcome barriers by developing a novel model-based AFDD platform that leverages whole-building energy models to provide fault detection and diagnosis with fewer sensors than required by traditional, rule-based methods.",Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,Los Alamos National Laboratory,GMLC 1.4.09 - Integrated Multi Scale Machine Learning,Los Alamos,NM,35.880036,-106.303114,https://energy.gov/eere/buildings/downloads/gmlc-149-integrated-multi-scale-machine-learning,"This project is aimed at creating an advanced distributed data analytics capability that provides visibility and controllability to the grid and building operators. Together, they will develop a low-cost scalable infrastructure that can integrate different high fidelity data sources. It then incorporates machine learning methodologies that will assist in transforming the data into actionable intelligence.",Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,Lawrence Berkeley National Laboratory,GMLC 1.4.09 - Integrated Multi Scale Machine Learning,Berkeley,CA,37.871593,-122.272747,https://energy.gov/eere/buildings/downloads/gmlc-149-integrated-multi-scale-machine-learning,"This project is aimed at creating an advanced distributed data analytics capability that provides visibility and controllability to the grid and building operators. Together, they will develop a low-cost scalable infrastructure that can integrate different high fidelity data sources. It then incorporates machine learning methodologies that will assist in transforming the data into actionable intelligence.",Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,Pacific Northwest National Laboratory,GMLC 1.2.4 - Grid Services and Technologies Valuation Framework,Richland,WA,46.285691,-119.284462,https://energy.gov/eere/buildings/downloads/gmlc-124-grid-services-and-technologies-valuation-framework,"The objective of this project is to create and test a generalized framework to determine the value from grid technologies and services, with an ultimate goal of developing a visionary, systematic, and transparent approach to valuation. It will require the foundational inputs over three years to create an initial framework from which to target the development of the long-term, universal framework. The goal is to develop a process that can be used by a variety of new and existing stakeholders including industry, regulators, policy makers, DOE, and others to examine, compare, and make decisions regarding new and existing grid-related technologies.",Lab Award,Active
Emerging Technologies,R&D - Transactive Controls,Oak Ridge National Laboratory,GMLC 1.2.4 - Grid Services and Technologies Valuation Framework,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/gmlc-124-grid-services-and-technologies-valuation-framework,"The objective of this project is to create and test a generalized framework to determine the value from grid technologies and services, with an ultimate goal of developing a visionary, systematic, and transparent approach to valuation. It will require the foundational inputs over three years to create an initial framework from which to target the development of the long-term, universal framework. The goal is to develop a process that can be used by a variety of new and existing stakeholders including industry, regulators, policy makers, DOE, and others to examine, compare, and make decisions regarding new and existing grid-related technologies.",Lab Award,Active
Emerging Technologies,R&D - Sensors & Controls,National Renewable Energy Laboratory,GMLC 1.3.21 - Alaska Microgid,Golden,CO,39.755543,-105.2211,https://energy.gov/eere/buildings/downloads/gmlc-1321-alaska-microgrid-partnership,This project will utilize both national laboratory and local Alaskan expertise in a true partnership to address significant challenges and advance the development of the next generation of hybrid power systems for isolated communities.,Lab Award,Active
Emerging Technologies,R&D - Sensors & Controls,Lawrence Berkeley National Laboratory,GMLC 1.3.21 - Alaska Microgid,Berkeley,CA,37.871593,-122.272747,https://energy.gov/eere/buildings/downloads/gmlc-1321-alaska-microgrid-partnership,This project will utilize both national laboratory and local Alaskan expertise in a true partnership to address significant challenges and advance the development of the next generation of hybrid power systems for isolated communities.,Lab Award,Active
Emerging Technologies,R&D - Advanced Lighting,Pixelligent,Light Extraction for OLED Lighting with 3-D Gradient Index,Baltimore,MD,39.290385,-76.612189,https://energy.gov/eere/ssl/downloads/light-extraction-oled-lighting-3-d-gradient-index,"The mismatches between the refractive indices (RI) that are located between the active layer, transparent conductive anode layer, indium tin oxide, and substrate are a major cause of light-extraction inefficiency in OLED devices. This project will explore the application of a novel and unique three-dimensional gradient index (GRIN) layer to address that problem, and improve the efficacy and lifetime of an OLED device.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,"MicroLink Devices, Inc.",ALXIN1-XP LEDS with II-VI Cladding Layers for Efficient Red and Amber,Niles,IL,42.0189,-87.8028,https://energy.gov/eere/ssl/downloads/alxin1-xp-leds-ii-vi-cladding-layers-efficient-red-and-amber-emission,"In this project, MicroLink Devices and the National Renewable Energy Laboratory will team to improve the performance of phosphide-based red and amber LEDs by engineering the composition and alloy combinations of these established semiconductor systems to overcome certain fundamental loss mechanisms that are known to limit performance.",Small Business Innovation Research,Inactive
