Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Total_Government_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
Solar PV Open Marketplace,Sun Number,EE0005844,Technology to Market,node/928446,Funding Opportunity,Incubator 6,Incubator 6,Inactive,2012,"$402,050 ",Deephaven,MN,55331-9372,node/791021,44.929685,-93.522455,Ryan Miller,"Sun Number is analyzing rooftops to determine the best roofs and the best locations on roofs for solar. This data is used to create Sun Number Scores&mdash;a tool to educate consumers about the solar potential of their home. This data is combined with other data about the roof (i.e. age, material) and information about the owner of the building (i.e. behavioral modeling) to qualify properties and lower the cost of customer acquisition."
Sun Number Commercialization,Sun Number,EE0006463,Technology to Market,node/928446,Funding Opportunity,Incubator 8,Incubator 8,Inactive,2013,"$1,000,000 ",Deephaven,MN,55331-9372,node/791021,44.929685,-93.522455,David Herrmann,Sun Number will create innovative new scoring calculations and develop new datasets. This additional qualification data will allow copmanies to analyze  the solar potential of an additional 30 million buildings.   
Development of An Abrasion-Resistant Antisoiling Coating for Front-Surface Reflectors,Sundog Solar Technology,EE0006696,Technology to Market,node/928446,Funding Opportunity,Incubator 9,Incubator 9,Inactive,2014,"$455,793 ",Arvada,CO,80002-1613,node/791016,39.790757,-105.084969,Randal Gee,The goal of this project is to create an abrasion resistant and hydrophobic coating for front surface reflector that can be used on heliostat or trough reflectors for Concentrating Solar Power plants. This will lead to increased reflectance improving overall system efficiency by providing more heat to the working fluids.
Development of A Solar Storage Operations Center (SSOC),SunEdison (formerly Solar Grid Storage),EE0006694,Technology to Market,node/928446,Funding Opportunity,Incubator 9,Incubator 9,Inactive,2014,"$968,120 ",Silver Spring,MD,20910,node/791016,39.00415,-77.039175,Daniel Dobbs,"The goal of this project is to develop a Solar Storage Operations Center (SSOC) to address the unique needs of managing grid-connected photovoltaic (PV) + storage assets. The SSOC will make it possible to bring together multiple storage sites and enhance grid stability with every new PV + storage resource installed, all the while reducing deployment costs. A scalable solution, the SSOC will help mitigate concerns about high-penetration PV deployment by enabling cost-effective control of residential, commercial, and utility-scale PV + storage systems."
Magnetic Communication Network for Smart Photovoltaic Solar Power Modules,Sunfield Semiconductor,EE0007194,Technology to Market,node/928446,Funding Opportunity,"SunShot Technology to Market: Incubator 10, SolarMat 3, SunPath 2",Incubator 10,Inactive,2015,"$144,000 ",Calabasas,CA,91302-3422,node/1382326,34.130795,-118.684811,Steve Robbins,"Module-Level Monitoring (MLM) can reduce operations and management (O&M) costs in solar power systems by detecting and locating maintenance problems early. MLM is also critical for maintaining the highest system performance over time. MLM requires a means of communication between each solar module and a remote computer or user interface device. Two such means are currently used: radio and Power-Line Communication (PLC). The awardees introduce a third means of communication: low frequency magnetic fields. This is wireless, but not radio. Magnetic fields penetrate non-ferrous conductors like PV cells, rather than being reflected. Also, magnetic fields don't propagate like radio waves do, so magnetic communication (mag com) has very short range, in this case typically less than three feet. Mag com costs less than radio or PLC. Furthermore, mag com may be able to detect and locate series arc faults at a significantly lower cost. Present methods of detecting series arc faults only determine which string contains the fault, but the new method can determine the specific solar module where the arc fault is occurring. This lowers O&M costs by avoiding a time-consuming search for the fault, and getting the system back on line sooner."
Sunfolding Mass-Manufactured Trackers For High Performance Photovoltaic Systems,Sunfolding,EE0007594,Technology to Market,node/928446,Funding Opportunity,"Technology to Market 2: Incubator 11, SolarMat 4",Incubator 11,Active,2016,"$1,999,999 ",San Francisco,CA,94110-2714,node/2040038,37.77493,-122.419416,Leila Madrone,"This project is further developing a modular, single-axis tracker system powered by air pressure in polymer bellows that has the flexibility and installation simplicity of a fixed-tilt system. The key is a distributed, mass-manufactured drive system with shared control. This tracking system opens up new opportunities to significantly reduce component costs, improve efficiencies in construction and site design, and improve long-term reliability for all tracking solar projects. This project will build upon the demonstrated technical successes by applying advanced U.S. manufacturing and automated assembly techniques to achieve significant cost reductions."
Transforming Residential Solar Through Broad Participation by Debt Capital,Sungage Financial,EE0006697,"Technology to Market, Soft Costs","node/928446; node/791371",Funding Opportunity,Incubator 9,Incubator 9,Inactive,2014,"$700,000 ",Boston,MA,2110,node/791016,42.361311,-71.048291,Sara Ross,"The goal of this project is to provide homeowners with easy, online access to low-cost financing for solar equipment. Through its pilot activities in MA and CT, Sungage has gained expertise in how to meet the needs of consumers, installers, and capital providers in order to successfully and efficiently deliver financing solutions. Sungage will expand through partnerships with solar installation companies in active solar markets nationwide."
"Innovative manufacturing technologies for low-cost, high efficiency PERC-based PV modules",Suniva,EE0007581,Technology to Market,node/928446,Funding Opportunity,"Technology to Market 2: Incubator 11, SolarMat 4",SolarMat 4,Inactive,2016,"$1,997,828 ",Norcross,GA,30092-3502,node/2040042,33.941213,-84.213531,Vijay Yelundur,"Suniva is developing an advanced passivated emitter rear cell (PERC) structure that utilizes an aluminum grid on the back side instead of a conventional full-area aluminum structure. These bifacial cells will have lower stress and thus can be thinned down to save on silicon material costs. In addition, performance improvements are proposed that would lead to much finer silver gridlines to improve cell and module efficiency. These enhancements in the cell performance can feed directly into Suniva's high-volume manufacturing line."
Road To Grid Parity Through Deployment of Low-Cost 21.5% N-Type Si Solar Cells,Suniva,EE0006354,Technology to Market,node/928446,Funding Opportunity,Solar Manufacturing Technology,SolarMat,Inactive,2013,"$4,499,678 ",Norcross,GA,30003-0001,node/791061,33.94,-84.21,Vijay Velundur,"Suniva Inc., in partnership with Georgia Institute of Technology, will deploy a low-cost highly efficient silicon PV cell technology that will reach the marketplace within three years and which meets the SunShot 2020 target of &le; $0.50/W module cost. This effort will overcome cost and efficiency barriers through advances in PV science and technology innovation involving new process tools, resulting in pilot production of 21.5% efficient cells."
Towards The Next Generation 23% Efficient N-Type Cells With Low Cost Manufacturing,Suniva,EE0006815,Technology to Market,node/928446,Funding Opportunity,Solar Manufacturing Technology 2,SolarMat 2,Inactive,2014,"$2,300,506 ",Norcross,GA,30003-0001,node/973806,33.94,-84.21,Vijay Velundur,"Suniva Inc., in collaboration with Georgia Tech Research Institute, plans to develop and manufacture high power n-type solar cells with efficiencies &ge; 22.5% using high volume compatible, low-cost manufacturing based on a new disruptive technology that aims to address the traditional tradeoffs between higher performance and cost of manufacturing. The proposed technology will enable a significant improvement in the total energy yields from these panels enabling a significant reduction in the levelized cost of electricity (LCOE) consistent with SunShot program objectives."
